Date,"m=3, W=252","m=3, W=504","m=4, W=252","m=4, W=504"
1954-11-11,0.9932131207841736,0.9916548304808557,0.9768636599837437,0.9783449133204417
1954-11-12,0.9942161343051038,0.9916872939231902,0.9787900692262167,0.9783449133204415
1954-11-15,0.9936912227351266,0.9911494146718725,0.9778617688815415,0.9775093142172069
1954-11-16,0.9941449427545386,0.9912847995654533,0.9775934110361517,0.9777084169482837
1954-11-17,0.994610533578136,0.9916705887844237,0.9785306154453286,0.9782572428352382
1954-11-18,0.9940966563680755,0.9911226023561,0.9786946142854228,0.9782572428352382
1954-11-19,0.9946636919943318,0.9915027404485082,0.9777182914898928,0.9782572428352382
1954-11-22,0.9942618939232797,0.9912847995654537,0.9764868328873529,0.977852167354888
1954-11-23,0.9937443811513224,0.9912847995654537,0.9749262988673152,0.9779081526748594
1954-11-24,0.9941568135587244,0.9914806189066894,0.9748204443030231,0.9774602874257692
1954-11-26,0.9937443811513224,0.9913452340131084,0.9770590935996388,0.9778197637588636
1954-11-29,0.9942161343051038,0.9911494146718725,0.9769178262862812,0.9780817218281085
1954-11-30,0.9932787903277245,0.9911494146718725,0.9763440700149987,0.9781569591199359
1954-12-01,0.9932787903277245,0.9911494146718723,0.9760081529692509,0.9776353612256067
1954-12-02,0.9936478798346738,0.9909478636038963,0.9756292505297096,0.9776556652626679
1954-12-03,0.9939244211910045,0.991076910653726,0.9757563410617415,0.9776270501332688
1954-12-06,0.9947750547473434,0.991093260863028,0.9763469614678331,0.9776270501332688
1954-12-07,0.9943900120146022,0.9909642138131982,0.975937204036645,0.9775482714963745
1954-12-08,0.99349560227045,0.9908135977940865,0.9753279566029088,0.9773568028096064
1954-12-09,0.9924925887495198,0.9904375170492316,0.9750853628330515,0.9773364987725452
1954-12-10,0.9924394303333245,0.9908135977940866,0.973748318280034,0.9769734116172586
1954-12-13,0.991639697089607,0.9904162273848746,0.9734936149196906,0.9762818257987833
1954-12-14,0.9918936682521504,0.990234305582523,0.9733781116818653,0.9754724557864315
1954-12-15,0.9924394303333245,0.9904162273848746,0.9731962354841163,0.9755174452284752
1954-12-16,0.9922386175869765,0.9901893169857383,0.9727500920411449,0.9753960326703368
1954-12-17,0.9918826888462609,0.9899369882890345,0.9732444977185116,0.975607805394166
1954-12-20,0.9924620556333016,0.9901752435193022,0.9739328132334248,0.9755542061127105
1954-12-21,0.9924620556333016,0.9904162273848746,0.9745065695047072,0.9755804352035939
1954-12-22,0.9931759615643558,0.9905981491872262,0.9743794789726751,0.9757310154094192
1954-12-23,0.9930683479310963,0.9905981491872262,0.9761869985289889,0.9762364418224215
1954-12-27,0.9936047804849099,0.9908135977940866,0.975886717825034,0.9764844001017994
1954-12-28,0.99360478048491,0.9911830368037546,0.9750778986914487,0.976702379618625
1954-12-29,0.9936047804849102,0.9915407727114357,0.9747573135452983,0.9772095629038435
1954-12-30,0.9931759615643556,0.9911646919665807,0.9739356123739468,0.9773526803149489
1954-12-31,0.9933767743107037,0.9915407727114358,0.9732472968590336,0.9769411036269748
1955-01-03,0.9930683479310966,0.9911830368037546,0.9729925934986903,0.9766061208878929
1955-01-04,0.99360478048491,0.9911830368037546,0.9728867389343981,0.9765787506973205
1955-01-05,0.99360478048491,0.9908069560588997,0.9725676860234591,0.9760867002448222
1955-01-06,0.9939379012692915,0.9909991203735312,0.970991073479549,0.9757760037029584
1955-01-07,0.9930906656644657,0.9907928825924637,0.9706616927720217,0.9755159465238348
1955-01-10,0.9930906656644658,0.9905890151758452,0.9702778316888065,0.9758059824655105
1955-01-11,0.9930906656644658,0.9908069560588997,0.9702778316888068,0.9759547652142209
1955-01-12,0.9923193063327177,0.9906413844658503,0.9698939706055915,0.9760107505341923
1955-01-13,0.9923193063327177,0.9910174652107052,0.9694665993696046,0.976457111136694
1955-01-14,0.9911935411459972,0.9910174652107052,0.9679796649594412,0.9766037091823623
1955-01-17,0.9902991314018452,0.9906413844658503,0.9679796649594412,0.9766037091823623
1955-01-18,0.9914686727763788,0.9909991203735312,0.9695562775033512,0.9766037091823623
1955-01-19,0.9920369272468086,0.9911646919665807,0.9710264122931692,0.976546419576401
1955-01-20,0.9921825787074329,0.9911646919665807,0.9725396776561205,0.977003620925424
1955-01-21,0.9921825787074329,0.9909584541855132,0.9721126018397713,0.9769833168883629
1955-01-24,0.9921825787074329,0.9913486083968042,0.9720067472754792,0.9769559466977907
1955-01-25,0.9918564234337104,0.9908069560588996,0.9704351646191374,0.9769132607597334
1955-01-26,0.9927259318649743,0.9911646919665807,0.9710838936572417,0.9770395631580028
1955-01-27,0.9930201163027672,0.9911646919665807,0.9721610706362168,0.977096852763964
1955-01-28,0.9930201163027672,0.9909991203735311,0.9738866812336585,0.9772872478612388
1955-01-31,0.9930201163027672,0.9906413844658503,0.9749638582126338,0.9776875893489538
1955-02-01,0.9932800075002501,0.9910174652107052,0.9754100016556049,0.9778993620727829
1955-02-02,0.9924064562754169,0.9910174652107052,0.9752460028155107,0.9778790580357217
1955-02-03,0.9924064562754169,0.9910174652107052,0.976040172894716,0.9776875893489538
1955-02-04,0.9930572987211462,0.9910174652107052,0.9752313537611303,0.9775293993290669
1955-02-07,0.9935617604390299,0.9911830368037546,0.9759561044326919,0.9774090728192176
1955-02-08,0.9929402695957101,0.9908069560588996,0.9749370995677674,0.9770087313315026
1955-02-09,0.9929402695957101,0.9911646919665807,0.9743942250939556,0.9770402102534246
1955-02-10,0.9926741754378576,0.9911646919665807,0.9746489284542986,0.9769187976952862
1955-02-11,0.9933514831589388,0.9911646919665807,0.9747644316921241,0.9771032002285434
1955-02-14,0.9922386854515087,0.9911646919665807,0.9735814279871057,0.9768013546908408
1955-02-15,0.9917849654320969,0.9909991203735312,0.9718500534987236,0.9766120707071153
