src,tgt,n,ete_dir,p_dir,ete_mag,p_mag,sig_dir,sig_mag,diff
XLC,XLY,1893,0.001207975330411672,0.07992007992007992,0.00055690511928975,0.16683316683316685,False,False,-0.000651070211121922
XLE,XLB,6796,-5.29594734652781e-05,0.4125874125874126,0.00401801434983435,0.000999000999000999,False,True,0.004070973823299628
XLE,XLC,1893,-8.48494338191513e-05,0.4645354645354645,0.005661210020232163,0.001998001998001998,False,True,0.005746059454051314
XLE,XLF,6796,-0.00018197546877205887,0.8321678321678322,0.003352560072147788,0.000999000999000999,False,True,0.0035345355409198468
XLE,XLI,6796,-0.00015680389630268543,0.8131868131868132,0.0033332643884374357,0.000999000999000999,False,True,0.003490068284740121
XLE,XLK,6796,-6.840473999152974e-05,0.46353646353646355,0.003645200443989579,0.000999000999000999,False,True,0.0037136051839811086
XLE,XLP,6796,0.00044893915872089665,0.03696303696303696,0.0018111359623756366,0.000999000999000999,False,True,0.00136219680365474
XLE,XLRE,2571,8.84491733753424e-05,0.31868131868131866,0.0041452836902345115,0.001998001998001998,False,True,0.004056834516859169
XLE,XLU,6796,-0.000120430225987748,0.6443556443556444,0.0034912330561090565,0.000999000999000999,False,True,0.0036116632820968044
XLE,XLV,6796,0.00021269094097260046,0.11488511488511488,0.0016332955723130983,0.000999000999000999,False,True,0.001420604631340498
XLE,XLY,6796,-7.386305620311364e-05,0.4435564435564436,0.0029078566025304937,0.000999000999000999,False,True,0.0029817196587336075
XLF,XLB,6796,-2.060720857528881e-05,0.41358641358641357,0.003249354376446282,0.000999000999000999,False,True,0.0032699615850215707
XLF,XLC,1893,-0.00031817489737148133,0.5324675324675324,0.002304126356467989,0.017982017982017984,False,True,0.0026223012538394703
XLF,XLE,6796,-3.128076543622982e-05,0.3996003996003996,0.005334101964305381,0.000999000999000999,False,True,0.005365382729741611
XLF,XLI,6796,-0.00021387525255562066,0.997002997002997,0.0035595078360618196,0.000999000999000999,False,True,0.00377338308861744
XLF,XLK,6796,0.0002690985453838526,0.09090909090909091,0.004485504301813275,0.000999000999000999,False,True,0.004216405756429423
XLF,XLP,6796,0.0007098868768676574,0.022977022977022976,0.005707458331235944,0.000999000999000999,False,True,0.004997571454368287
XLF,XLRE,2571,0.00011173988917636483,0.2677322677322677,0.0028807919311960107,0.002997002997002997,False,True,0.0027690520420196457
XLF,XLU,6796,0.00041727966438434637,0.055944055944055944,0.0019725683539936665,0.000999000999000999,False,True,0.0015552886896093201
XLF,XLV,6796,-0.00016203658605984402,0.7122877122877123,0.0037447411926506045,0.000999000999000999,False,True,0.003906777778710449
XLF,XLY,6796,-0.00013786218093876786,0.7662337662337663,0.0029902689880661536,0.000999000999000999,False,True,0.0031281311690049213
XLI,XLB,6796,-4.392807167028542e-05,0.4755244755244755,0.0021567893573222066,0.000999000999000999,False,True,0.002200717428992492
XLI,XLC,1893,0.0001096435280078862,0.2987012987012987,0.003439483835592355,0.005994005994005994,False,True,0.003329840307584469
XLI,XLE,6796,0.00016404871873666122,0.15184815184815184,0.002469002366485101,0.000999000999000999,False,True,0.0023049536477484397
XLI,XLF,6796,-0.00018994995453209377,0.9200799200799201,0.001897816273335147,0.000999000999000999,False,True,0.0020877662278672407
XLI,XLK,6796,-8.412947408224867e-05,0.5604395604395604,0.0020268007960122124,0.000999000999000999,False,True,0.002110930270094461
XLI,XLP,6796,0.00019389097313694592,0.14185814185814186,0.0022779316086671115,0.000999000999000999,False,True,0.0020840406355301655
XLI,XLRE,2571,-6.1023644916787943e-05,0.4205794205794206,0.0028703178435162857,0.002997002997002997,False,True,0.0029313414884330736
XLI,XLU,6796,0.00027721124183338706,0.1038961038961039,0.003225182932379148,0.000999000999000999,False,True,0.002947971690545761
XLI,XLV,6796,4.044960997390482e-05,0.35264735264735264,0.00248928388881237,0.000999000999000999,False,True,0.0024488342788384653
XLI,XLY,6796,-0.00012819765251954882,0.6293706293706294,0.0011785079070684133,0.001998001998001998,False,True,0.0013067055595879621
