asset,window_size,end_date,edge_prob_pe_to_fr,mean_effect_pe_to_fr,is_robust,n_obs,pe_position
XLF,200,2017-07-10,0.035,0.006106960127392269,False,199,2
XLF,200,2017-09-07,0.0,0.0,False,199,5
XLF,200,2017-11-06,0.01,0.005123993857552,False,199,2
XLF,200,2018-01-08,0.005,-0.0006408411247625436,False,199,3
XLF,200,2018-03-09,0.0,0.0,False,199,5
XLF,200,2018-05-09,0.095,0.023877901653489575,False,199,1
XLF,200,2018-07-10,0.125,0.03256887258785092,False,199,3
XLF,200,2018-09-07,0.275,0.07211986819923358,False,199,3
XLF,200,2018-11-06,0.07,0.015074690151072883,False,199,1
XLF,200,2019-01-09,0.005,0.0006536025517599238,False,199,4
XLF,200,2019-03-12,0.0,0.0,False,199,3
XLF,200,2019-05-10,0.0,0.0,False,199,3
XLF,200,2019-07-11,0.005,-0.0008568254238758666,False,199,5
XLF,200,2019-09-10,0.085,-0.008454929866079215,False,199,1
XLF,200,2019-11-07,0.035,-0.010639479018839784,False,200,1
XLF,200,2020-01-09,0.0,0.0,False,199,5
XLF,200,2020-03-11,0.02,-0.002531247069017727,False,199,5
XLF,200,2020-05-11,0.005,0.000443870695320223,False,199,5
XLF,200,2020-07-10,0.0,0.0,False,199,4
XLF,200,2020-09-09,0.04,-0.005187763999173198,False,199,4
XLF,200,2020-11-06,0.0,0.0,False,199,4
XLF,200,2021-01-08,0.165,-0.02830175060957442,False,199,3
XLF,200,2021-03-11,0.365,-0.0748100477786505,False,199,4
XLF,200,2021-05-11,0.035,-0.00663953062391789,False,199,5
XLF,200,2021-07-12,0.025,0.0018142965665127035,False,199,4
XLF,200,2021-09-09,0.02,-0.0008083754681664576,False,199,5
XLF,200,2021-11-08,0.06,0.011651382966099966,False,199,5
XLF,200,2022-01-07,0.06,0.009741138646769667,False,199,4
XLF,200,2022-03-10,0.005,-0.0009445417774426764,False,199,3
XLF,200,2022-05-10,0.005,-0.0008015720254445478,False,199,3
XLF,200,2022-07-12,0.0,0.0,False,199,4
XLF,200,2022-09-09,0.0,0.0,False,199,1
XLF,200,2022-11-08,0.0,0.0,False,199,1
XLF,200,2023-01-10,0.0,0.0,False,199,1
XLF,200,2023-03-13,0.01,-0.0020092247680424673,False,199,5
XLF,200,2023-05-11,0.0,0.0,False,199,1
XLF,200,2023-07-13,0.0,0.0,False,199,1
XLF,200,2023-09-12,0.0,0.0,False,199,2
XLF,200,2023-11-09,0.0,0.0,False,199,1
XLF,200,2024-01-11,0.025,-0.005080224756479414,False,199,5
XLF,200,2024-03-13,0.11,-0.02364822092263919,False,199,1
XLF,200,2024-05-13,0.145,-0.031679295592965485,False,199,3
XLF,200,2024-07-15,0.01,-0.0018465537822121626,False,199,2
XLF,200,2024-09-12,0.0,0.0,False,199,1
XLF,200,2024-11-11,0.0,0.0,False,199,1
XLF,200,2025-01-14,0.03,0.006752499406180369,False,199,3
XLF,200,2025-03-17,0.005,0.0007206465485848554,False,199,5
XLF,200,2025-05-15,0.015,0.002404881996447339,False,199,1
XLF,200,2025-07-17,0.0,0.0,False,199,1
XLF,200,2025-09-16,0.005,0.00044994687729034747,False,199,1
XLF,200,2025-11-13,0.005,0.0005530361485256751,False,199,1
XLV,200,2000-04-27,0.075,-0.013554483118601475,False,199,2
XLV,200,2000-06-27,0.045,-0.007891461207303616,False,199,2
XLV,200,2000-08-25,0.02,-0.003763972686779606,False,199,5
XLV,200,2000-10-25,0.005,-0.000931316295931038,False,199,4
XLV,200,2000-12-26,0.005,-0.0010892560980887461,False,199,4
XLV,200,2001-02-27,0.33,-0.07825971224552636,False,199,4
XLV,200,2001-04-27,0.18,-0.037780497477951036,False,199,1
XLV,200,2001-06-27,0.15,-0.029549410778590888,False,199,1
XLV,200,2001-08-27,0.145,-0.032492100743069484,False,199,4
XLV,200,2001-10-31,0.005,0.001020026812692792,False,199,4
XLV,200,2002-01-02,0.015,0.0033158593137436344,False,199,5
XLV,200,2002-03-05,0.01,0.0024088310667203486,False,199,5
XLV,200,2002-05-03,0.015,0.0025538853384809213,False,199,5
XLV,200,2002-07-03,0.015,0.002797398059940054,False,199,5
XLV,200,2002-09-03,0.0,0.0,False,199,5
XLV,200,2002-10-31,0.005,-0.0005990288488129025,False,199,3
XLV,200,2003-01-02,0.015,-0.003666310604259789,False,199,3
XLV,200,2003-03-05,0.04,-0.006961914134894994,False,199,4
XLV,200,2003-05-05,0.055,-0.01070192496904332,False,199,1
XLV,200,2003-07-03,0.02,-0.003976249180884009,False,199,3
XLV,200,2003-09-03,0.015,-0.002716005980657038,False,199,1
XLV,200,2003-10-31,0.015,-0.0011063548586735246,False,199,2
XLV,200,2004-01-02,0.025,-0.004604203476203247,False,199,5
XLV,200,2004-03-04,0.05,-0.013267752523769048,False,199,5
XLV,200,2004-05-04,0.035,0.0018235235323661963,False,199,1
XLV,200,2004-07-06,0.055,0.009620677270657935,False,199,2
XLV,200,2004-09-02,0.0,0.0,False,199,5
XLV,200,2004-11-02,0.03,0.004103118156897643,False,199,4
XLV,200,2005-01-03,0.0,0.0,False,199,2
XLV,200,2005-03-04,0.0,0.0,False,199,5
XLV,200,2005-05-04,0.01,-0.001722930783396143,False,199,4
XLV,200,2005-07-05,0.015,-0.002268597568208441,False,199,1
XLV,200,2005-09-01,0.01,-0.002251884267086458,False,199,3
XLV,200,2005-11-01,0.005,0.0009402347350186576,False,199,2
XLV,200,2006-01-03,0.05,-0.004230364342725803,False,199,3
XLV,200,2006-03-06,0.03,-0.004865306981604756,False,199,2
XLV,200,2006-05-04,0.06,-0.010944293815071513,False,199,1
XLV,200,2006-07-05,0.105,-0.01972399996416684,False,199,4
XLV,200,2006-09-01,0.01,-0.00165033804106905,False,199,5
XLV,200,2006-11-01,0.035,-0.005584153821313695,False,199,5
XLV,200,2007-01-04,0.035,-0.005723674949140426,False,199,5
XLV,200,2007-03-07,0.0,0.0,False,199,5
XLV,200,2007-05-07,0.02,-0.0021227225730189024,False,199,1
XLV,200,2007-07-06,0.0,0.0,False,199,5
XLV,200,2007-09-05,0.005,0.0008127450690244586,False,199,4
XLV,200,2007-11-02,0.005,-0.0008673509723870035,False,199,5
XLV,200,2008-01-04,0.0,0.0,False,199,4
XLV,200,2008-03-06,0.0,0.0,False,199,2
XLV,200,2008-05-06,0.06,0.014059216299419806,False,199,5
XLV,200,2008-07-07,0.21,0.05249440587078688,False,199,4
XLV,200,2008-09-04,0.205,0.05053546147940601,False,199,2
XLV,200,2008-11-03,0.0,0.0,False,199,3
XLV,200,2009-01-05,0.01,0.0007330471241973121,False,199,4
XLV,200,2009-03-06,0.01,0.0019020885776742848,False,199,2
XLV,200,2009-05-06,0.0,0.0,False,199,5
XLV,200,2009-07-07,0.185,0.030601324116816243,False,199,1
XLV,200,2009-09-03,0.395,0.0902449505231694,False,199,4
XLV,200,2009-11-03,0.11,0.027539753169301823,False,199,2
XLV,200,2010-01-05,0.06,0.018221987179929327,False,199,2
XLV,200,2010-03-08,0.035,-0.001712793465607067,False,199,5
XLV,200,2010-05-06,0.03,-0.007044803321556405,False,199,5
XLV,200,2010-07-07,0.07,-0.01890518884260759,False,199,4
XLV,200,2010-09-03,0.02,-0.005938240273856393,False,199,5
XLV,200,2010-11-03,0.0,0.0,False,199,5
XLV,200,2011-01-04,0.0,0.0,False,199,5
XLV,200,2011-03-07,0.02,0.0035404867636908625,False,199,5
XLV,200,2011-05-05,0.0,0.0,False,199,2
XLV,200,2011-07-06,0.005,-0.0017968165055498753,False,199,2
XLV,200,2011-09-02,0.05,0.007876301086563323,False,199,1
XLV,200,2011-11-02,0.005,0.0005946713809820605,False,199,1
XLV,200,2012-01-04,0.01,0.0012542986146804325,False,199,2
XLV,200,2012-03-06,0.005,0.0006382878365773314,False,199,4
XLV,200,2012-05-04,0.09,0.02440587696470239,False,199,3
XLV,200,2012-07-05,0.005,-0.0005092214809448843,False,199,5
XLV,200,2012-09-04,0.14,0.02406747981379396,False,199,5
XLV,200,2012-11-05,0.0,0.0,False,199,2
XLV,200,2013-01-07,0.0,0.0,False,199,3
XLV,200,2013-03-08,0.01,0.001121021389993748,False,199,2
XLV,200,2013-05-08,0.02,0.0025844337650920575,False,199,4
XLV,200,2013-07-09,0.005,0.0006239378809069903,False,199,5
XLV,200,2013-09-06,0.005,0.00044025436805688836,False,199,4
XLV,200,2013-11-05,0.03,-0.00787517822095937,False,199,3
XLV,200,2014-01-07,0.03,-0.006390670320706876,False,199,3
XLV,200,2014-03-10,0.005,-0.0006504786128536433,False,199,5
XLV,200,2014-05-08,0.015,-0.003343504377679255,False,199,5
XLV,200,2014-07-09,0.015,0.002956705806368084,False,199,2
XLV,200,2014-09-08,0.07,0.01162547784363481,False,199,3
XLV,200,2014-11-05,0.035,0.00656692744722209,False,199,2
XLV,200,2015-01-07,0.005,0.0010155370256096268,False,199,4
XLV,200,2015-03-10,0.005,0.0008391830014680687,False,199,1
XLV,200,2015-05-08,0.01,-0.0018702415650683967,False,199,2
XLV,200,2015-07-09,0.04,-0.006977762534157213,False,199,1
XLV,200,2015-09-08,0.01,0.0015292782467911379,False,199,1
XLV,200,2015-11-05,0.0,0.0,False,199,4
XLV,200,2016-01-07,0.04,-0.0065744573136068095,False,199,1
XLV,200,2016-03-09,0.005,-0.0012758610687526458,False,199,1
XLV,200,2016-05-09,0.015,-0.001823956689774173,False,199,2
XLV,200,2016-07-08,0.065,0.016424173513575592,False,199,4
XLV,200,2016-09-07,0.095,0.022014001791613943,False,199,1
XLV,200,2016-11-04,0.05,0.0072277580113436265,False,199,3
XLV,200,2017-01-06,0.015,0.002316002330259229,False,199,4
